words,counts
habits,17
mannerisms,1
house,318
cats,109
carefully,27
reproduced,1
relaxed,1
furball,1
yen,65
press,66
ichigo,70
momomiya,6
fall,313
luck,131
goodlooking,6
masaya,10
aoyama,25
immediately,288
develops,60
crush,156
learns,479
passionate,144
environment,122
seizes,12
thanks,181
some,822
tickets,30
exhibition,45
endangered,27
animalsduring,6
date,95
struck,49
light,469
faints,45
waking,60
sight,164
unharmedbut,6
must,1915
escape,339
giant,247
ratlike,6
creature,321
injures,6
save,783
awakens,241
transforms,139
heroine,80
catafter,6
defeats,80
monster,393
researchers,30
ryou,64
shirogane,40
keiichiro,8
akasaka,14
explain,40
chosen,251
part,790
mew,18
project,348
five,419
whose,608
dna,13
infused,15
species,113
teammates,137
defeat,411
chimera,10
animabeings,6
infected,33
aliens,141
want,271
take,1322
worldbefore,6
late,216
heian,119
era,404
1000,140
ago,861
noble,242
family,1400
named,2049
ojarumaru,113
bored,132
privilege,110
meanwhile,593
demons,392
steal,277
powerstick,108
enma,123
king,869
then,746
lose,233
uses,355
transport,123
here,356
befriended,124
kazuma,160
member,594
goes,730
dodging,108
comedic,233
efforts,441
akane,186
kisuke,108
aobee,108
try,445
recover,159
stick,122
caterpillars,129
investigate,329
objects,202
kitchen,283
searching,459
food,421
piece,376
pasta,132
intrigued,149
theres,385
hole,185
middlethey,128
fun,623
mean,183
caterpillar,132
arrives,403
major,272
kazuki,22
yoshino,45
yuuya,55
niyodo,6
idols,267
zings,6
gives,280
performance,176
views,37
job,462
means,343
making,332
money,276
yuuyas,38
apathetic,42
attitude,47
fans,103
inability,31
seriously,49
causes,205
manager,129
give,304
ultimatum,10
unless,30
putting,111
effort,154
firedbackstage,6
asahi,24
mogami,14
idol,769
dressed,32
colorful,130
costume,27
would,775
bright,185
ahead,182
herhad,6
died,78
year,1060
prior,93
even,1642
perform,180
again,786
hold,158
passion,268
once,1251
did,257
overcome,344
fit,41
rage,87
demands,82
let,212
place,1263
twist,63
wakes,108
lazy,76
himselfwith,11
thinks,115
ticket,74
easy,200
though,936
longer,255
alive,145
ambition,98
best,1019
unmotivated,17
man,1048
care,225
besides,38
met,273
kazuya,41
kinoshita,38
chizuru,16
mizuhara,14
regularly,31
rental,15
girlfriend,129
app,90
confesses,51
ready,244
quit,62
pursue,155
true,606
passionacting,3
wishing,39
maintain,146
support,229
dreamwhen,3
watch,326
chizurus,6
anticipated,42
play,478
amazed,3
captivate,12
audience,124
saddened,7
thought,318
undoubtedly,20
scouted,22
famous,291
director,101
attendancehowever,3
explains,135
recruited,45
actress,32
lamenting,3
lack,200
frustrated,58
behalf,17
resolves,63
rent,35
week,104
financially,17
kazuyas,12
exgirlfriend,3
mami,21
nanami,77
lingers,8
reasons,51
hesitance,3
muddles,3
fulfilling,79
promise,177
uncertain,45
teppen,2
grand,405
prix,19
competition,305
established,191
appreciation,23
standup,5
devoted,55
performances,84
yayoi,33
sakamoto,43
friendsyomogi,2
takahashi,45
yuzu,24
hosonoform,2
trio,253
waiwai,2
qualifying,16
final,404
round,124
trios,23
emerge,71
victoriouswith,2
participants,102
housed,12
dorm,15
comedians,7
lodged,2
contestants,10
establishment,61
prove,361
laugh,30
cry,35
maid,64
lilith,14
hired,55
yuuri,28
mansion,103
seems,539
highly,119
good,508
dish,110
serves,83
turns,427
delicious,242
residence,37
sparkles,9
cleans,3
clothing,32
given,326
pleasant,26
scent,8
since,875
started,191
doing,211
laundry,6
furthermore,56
devilishly,10
beautiful,516
eyes,243
serve,141
heighten,10
yuuris,9
suspicions,7
perhaps,74
witch,231
or,1718
sorcerer,56
figure,197
outbut,3
misgivings,7
tries,584
unravel,155
charm,80
sequel,167
urawa,3
usagichan,7
koyan,18
origami,18
ninja,253
planet,415
origamio,18
stone,164
hapiton,18
happy,214
joined,212
namin,18
anda,18
lublin,18
villain,85
evilrun,18
appeared,222
black,390
stomach,70
inhale,18
event,435
happens,214
evilruns,18
aim,198
short,1083
focusing,208
different,665
futsal,5
teams,203
included,793
6th,34
bluraydvd,203
volume,483
gag,93
foods,62
refrigerator,45
airs,134
within,892
oha,58
suta,59
childrens,250
morning,199
tv,660
program,472
receive,207
simultaneous,45
serialization,56
kazumata,45
oguri,45
stopmotion,506
robots,242
mainly,156
pulta,136
square,195
adaptation,198
episode,1008
midori,23
makibao,2
released,582
bluray,374
box,199
2022,22
tuna,7
illustrated,5
bookssource,3
anidb,206
installments,6
commemorating,19
animes,103
sixth,129
anniversarysource,5
fourth,578
kamiusagi,93
rope,91
events,1030
occur,103
film,489
mezamashi,68
instead,477
theaters,112
installment,40
noprincesama,13
yojouhan,6
machine,82
blues,17
sweltering,6
midsummer,11
ozu,6
protagonists,37
terrible,56
accidentally,237
drowns,26
remote,93
control,438
conditioning,6
unit,219
apartment,168
discuss,72
predicament,70
akashi,42
ravenhaired,6
sloppilydressed,6
timetravelling,6
25,72
prompting,32
protagonist,210
borrow,8
snatch,27
breakssource,6
lin,21
ordinary,588
powerful,814
practitioner,18
god,480
war,1025
system,274
sends,92
spiritual,76
practice,173
arrived,227
aptitude,59
humiliated,12
wash,15
away,662
stigma,4
optimistic,51
improved,12
cultivation,41
outstanding,10
close,425
embarked,45
road,167
counterattacksource,4
bilibili,59
shimajirou,120
television,363
duel,257
masters,185
entered,87
stage,334
theme,210
travelsource,12
30second,103
segments,121
featuring,467
gohan,109
kaijuu,127
pap,99
monsters,903
produce,151
meals,163
centers,226
answers,136
peoples,158
delivers,62
tane,31
neko,151
japanese,832
words,456
seed,58
respectivelysource,30
kotetsukun,12
aspires,58
astronaut,58
animal,131
space,413
dreamssource,15
third,541
hanhua,5
riji,5
motto,20
majime,16
ni,200
fumajime,12
kaiketsu,17
zorori,15
machikado,10
mazoku,15
elite,337
shuchiin,16
academys,121
council,226
continue,596
competitive,133
daytoday,32
antics,169
miyuki,34
clashes,27
vicepresident,6
kaguya,27
shinomiya,20
fighting,343
tooth,6
nail,24
trick,25
romantic,102
strict,112
confines,14
wealthy,63
uptight,6
rebelling,11
cold,119
default,8
demeanor,158
warms,6
friendsmeanwhile,6
treasurer,10
yuu,105
ishigami,21
suffers,86
weight,68
hopeless,48
tsubame,11
koyasu,6
instill,6
confidence,67
miko,35
iino,11
newest,100
grows,223
closer,328
rulebreaking,6
striving,67
authoritarian,10
moral,75
codeas,6
further,256
blooms,16
officers,32
drag,21
outsider,8
increasingly,106
conflicts,119
momoko,139
sakura,276
elementary,470
momoe,128
yamaguchi,130
mangas,227
chibi,217
marukochan,137
age,651
small,814
size,169
grandparents,176
sister,834
town,743
whom,374
studies,226
plays,214
everyday,579
pal,133
tamachan,128
committee,145
maruokun,128
migiwasan,128
bclass,135
hanawakun,128
hamajibu,128
taro,132
sekiguchikun,128
funloving,144
enjoyable,132
portrays,140
simple,324
lifesource,164
exciting,337
momentous,22
cultural,70
festival,261
shouko,8
komi,8
continues,687
endeavor,60
hundred,236
alongside,595
classmate,247
hitohito,8
tadano,14
winter,85
class,508
seemingly,341
delinquent,49
makoto,115
katai,4
absent,25
intimidating,35
appearance,383
difficulty,39
communicating,8
befriend,123
classmatesas,4
friendships,82
form,613
deepen,10
tadanos,4
changethough,4
necessarily,4
worsewritten,4
numerous,242
challenges,328
shidou,21
itsukas,4
ratatoskr,16
departure,19
routine,66
starving,29
woman,306
lying,37
street,127
helping,191
arrive,161
introduces,117
nia,4
honjoua,4
artist,143
working,461
pen,28
cutting,17
straight,22
chase,71
spirit,382
aware,95
shidous,10
secret,620
operationinterested,4
seeing,131
charisma,11
firsthand,46
win,273
strives,144
opportunity,282
seal,143
history,350
deus,8
ex,17
machina,6
industries,4
familiar,316
corrupt,28
politicians,7
frenzied,12
nationalists,4
warmongering,4
forces,691
constantly,164
jeopardize,21
thin,27
veneer,4
peace,687
between,1595
neighboring,61
countries,132
ostania,4
westalis,4
spite,59
plots,97
spy,53
disguise,49
twilight,43
fulfills,4
missions,86
hope,480
child,513
experience,327
horrors,53
warin,8
bustling,52
ostanian,4
berlint,4
dons,42
loid,4
forger,4
esteemed,24
psychiatrist,4
intention,38
gather,162
prominent,56
politician,4
donovan,4
desmond,4
rarely,40
sons,7
prestigious,392
eden,31
enlisting,38
unmarried,4
hall,43
clerk,13
yor,4
briar,32
wife,110
adopting,11
curious,176
sixyearold,9
orphan,47
anya,13
daughter,253
enacts,12
enroll,61
excel,21
without,525
arousing,8
suspicion,21
talents,132
trouble,295
loving,28
husband,105
hiding,97
yorwho,4
underground,156
assassin,66
thorn,13
princessand,4
anyaan,4
esper,18
read,48
mindshave,4
disclose,4
secrets,229
either,102
pictureperfect,4
founded,44
deception,18
forgers,14
gradually,218
understand,153
share,207
trumps,4
else,153
kakkou,1
iinazuke,1
mini,141
because,322
mistake,32
summoning,108
process,118
30yearold,10
liu,16
yinuo,2
summoned,158
soon,1282
possible,185
began,228
assist,91
18yearold,18
brave,103
tian,32
enya,2
excellent,71
cognition,6
originally,142
highplayer,2
duck,10
grew,137
wayward,4
mature,66
reliable,27
girlsource,14
recap,455
24,51
episodes,909
digimon,47
0,56
jantama,2
pong,3
aired,192
april,84
fools,24
joke,9
rantarou,78
shinbei,78
kirimaru,78
apprentices,147
gakuen,108
grade,149
nintamas,74
contraction,74
ninjatama,74
learn,744
our,256
heroes,375
interesting,152
segmentated,74
cartoon,92
fashion,153
2,442
30min,74
includes,158
teachers,128
doisensei,74
crossdressing,84
yamadasensei,74
nintama,78
kunoichis,74
guys,100
dokutake,74
ninjas,86
castsource,76
arcs,29
quintessential,5
quintuplets,5
following,1073
trip,269
okinawa,29
saitama,29
university,149
graduate,125
shinya,35
yukimura,55
ayame,13
himuro,10
failed,116
obtain,175
data,57
necessary,121
scientifically,5
unable,305
replicate,5
exact,51
conditions,55
stubborn,105
scientists,56
elsewhere,46
universitythe,2
biological,14
sciences,7
departmentassisted,2
longtime,21
chris,15
floret,2
suiu,2
fujiwara,30
begin,793
quantify,4
measuring,2
output,2
oxytocin,2
situations,181
compared,12
poses,15
if,1071
affection,43
proven,58
alldesperate,2
scientific,30
rationale,2
discrepancy,2
puts,113
line,430
beginning,283
matsuboshi,4
raidou,4
friendsstarting,4
tiny,91
softspoken,12
reina,27
aharen,4
sits,26
shares,64
sentiment,17
awkward,102
timid,113
incapable,38
determining,17
chummy,4
approaching,94
persondue,4
reinas,4
complete,298
gauge,15
personal,240
struggle,297
spark,22
unlikely,178
friendship,254
simplest,4
tasks,139
talking,160
seem,353
impossible,132
countless,123
pointless,8
hinder,4
overly,24
imaginative,12
whatever,183
indecipherable,9
queen,139
echidna,4
invasion,133
turn,479
hero,647
leo,83
demonheart,4
protect,775
blessed,46
insurmountable,28
power,1320
easily,126
repels,4
echidnas,4
thereby,4
saving,193
gratitude,19
admiration,46
disdain,4
scorn,9
humans,724
fear,137
overwhelming,110
strength,359
believe,219
may,1110
eventually,372
cause,315
humanitys,128
demisebanished,4
kingdom,502
wanders,37
aimlessly,12
throughout,438
land,539
hears,143
rebuild,42
demonkind,16
accept,174
ally,70
returns,235
queens,22
offers,154
helpnaturally,4
rejects,34
lost,656
manages,192
convince,66
generals,31
supervision,8
donning,10
masked,72
knight,140
onyx,4
solves,22
armys,23
problems,252
onegradually,4
improving,23
quality,20
accomplish,70
goal,456
why,169
fushiharasan,4
spends,182
office,195
computer,81
toiling,6
overtime,4
corporate,53
slave,35
coworkers,91
gone,182
noticing,63
unhealthy,10
situation,382
rumored,110
haunt,43
building,156
upon,974
scare,19
relieve,16
stress,64
cuteness,32
motivates,11
presence,109
soul,168
bring,520
positivity,8
fushiharasans,4
kappa,76
flowers,162
heads,221
15,144
lord,176
graduated,28
mage,109
kotone,3
kazairo,3
moves,143
dalithe,3
royal,224
capital,145
actusto,3
chapter,103
settle,71
16yearold,54
estate,28
firm,47
guide,45
rpg,71
employees,34
pragmatic,5
priest,52
rufuria,3
tomboyish,19
warrior,176
rakira,3
demihuman,39
facoincidentally,3
wastes,3
learning,341
housing,22
options,26
available,74
suit,144
varied,15
eccentricities,24
diverse,47
customer,17
pool,71
deliver,30
perfect,206
matches,73
clients,54
specific,68
needs,231
task,203
colleagues,67
determined,565
smiles,55
faces,373
patronsone,3
izumi,104
leads,489
filled,427
mishap,22
improbable,6
unfortunate,101
possession,83
enters,236
single,364
wish,225
mindto,3
affectionate,43
micchon,3
shikimoricute,3
athletic,77
caring,48
shikimori,3
immensely,22
dating,70
witnessed,40
surprising,49
otherwise,62
need,260
arises,47
incredibly,171
cool,90
misfortunes,23
avoided,12
aweinspiring,6
face,684
charming,59
never,748
ceases,22
heart,336
skip,40
sure,152
attends,80
magic,597
wenias,4
sable,4
worst,78
grades,39
entire,377
attending,157
institution,105
headmaster,17
albus,10
special,1164
training,630
regimen,19
south,62
eagerly,32
accepts,232
dawn,44
roux,4
cristasse,4
holt,4
antlers,7
kudd,4
lizard,12
beastfallen,7
establish,48
witches,158
antiwitch,4
strongduring,4
quartet,36
avoids,21
dia,10
ignis,56
arbitersa,4
hunters,101
murdering,14
civilians,41
alike,160
disbanded,53
amnesty,5
church,122
linger,17
capture,288
any,985
mages,52
acrossthankfully,4
rouxs,4
staff,64
ludens,4
witcheater,4
sables,4
unlimited,143
supply,18
able,1044
left,727
silverhaired,19
rescued,114
invasions,3
rampant,45
frequent,35
considered,228
desirable,3
jobs,142
honor,105
fame,123
provides,125
wanting,62
alvin,3
intends,62
career,153
completing,93
lowlevel,3
request,97
guildwhile,3
en,33
route,67
confronted,64
bear,189
pinch,6
elf,56
healer,10
karla,3
approaches,119
asks,198
requires,48
assistancebeing,3
oblivious,38
discussion,13
needlessly,3
complicated,78
karlas,3
absurdly,13
eccentric,266
personality,168
somehow,187
convinces,52
healing,27
casts,10
curse,93
strays,4
shall,15
diedespite,3
forced,432
accompany,74
broken,103
steadfast,16
fullfledged,18
easieror,3
harderdepending,3
whims,6
fifth,231
ani,6
tsukeru,2
kusuri,2
wa,188
nai,30
character,486
mother,583
sazaesan,70
kids,247
ultimate,284
tends,93
traditional,274
themes,76
think,175
equivalent,76
partridge,68
youll,79
feel,172
shows,353
atmosphere,111
dont,230
expect,166
violence,106
swearing,80
kungfu,68
action,252
today,131
mall,84
boring,122
plotlines,68
simplistic,69
art,323
turnoff,68
nonjapanese,68
audiences,137
top,553
ratings,80
grabbers,68
acceptable,68
yatogamechan,11
kansatsu,11
nikki,11
onikids,3
onipan,3
portmanteau,4
oni,27
pantsu,3
fix,102
transfer,279
normal,497
tokyo,676
aid,263
image,41
revitalizing,7
sometimes,159
jumping,20
headfirst,18
timesbecoming,3
idolssource,19
twopart,10
boxes,20
depicts,100
kawashiri,2
loves,264
alcohol,14
greasy,2
salty,2
sweetsource,2
eighth,70
ruguo,21
lishi,21
shi,85
yiqun,21
miao,34
twelve,52
historical,105
figures,98
chronological,4
stories,335
cover,111
thousandyear,9
china,127
instalment,4
covers,41
defining,4
moments,141
mid,4
latetang,4
dynasty,65
emperor,116
xuanzongs,4
reign,67
lushan,5
rebellion,35
huang,13
chao,11
eventual,19
downfall,28
imperial,97
tang,38
seventh,139
menghuan,18
shuyuan,14
pill,6
bugsepisodes,2
13,122
streamed,76
advance,40
mixalive,2
tokyos,107
30,62
release,416
summer,378
promotional,183
video,1488
shounen,96
jump,96
debby,4
corsifa,4
makezugirai,4
tvs,12
geinin,7
kantoku,10
entertainer,11
variety,200
ken,58
tamaki,31
organizations,100
favorite,99
pastime,21
skill,148
toy,68
kendama,4
mere,125
stakes,39
fight,1077
kenda,2
kensource,1
hdive,10
compilation,122
mawaru,5
penguindrum,5
unprecedented,82
zombie,60
killed,104
hundreds,85
thousands,98
korea,28
declared,29
zombiefree,3
jeonghwan,3
holds,182
last,759
cravings,3
satisfied,13
violent,102
tendencies,11
die,116
keep,462
suah,3
elsesource,17
webtoon,11
touken,20
ranbu,29
hanamaru,26
movie,487
trilogy,66
yofukashi,1
twitter,84
break,245
nishikata,19
stoked,13
pranks,24
outdo,5
takagi,22
losing,211
streak,23
slowly,305
unrelenting,11
workings,5
crafty,9
mind,238
realizes,278
takagis,5
motivations,25
teasing,32
initially,151
assumed,5
funfilled,10
strategizing,12
everwritten,9
lucius,5
modestus,5
ancient,326
roman,13
architect,9
jobhunting,8
coming,276
ideas,56
dismal,14
bathhouse,16
relax,43
unwind,13
crowded,5
bath,33
dips,5
head,489
tunnel,16
transports,29
modernday,77
providing,46
inspiration,84
needed,81
creationloaded,5
recreate,45
usually,59
inferior,22
circumstances,122
sheer,53
ingenuity,21
enough,481
attention,346
citizens,179
regain,102
reputation,128
infamous,322
arsene,24
lupin,77
iii,83
gang,141
thieves,67
